"brand_name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1st Tier Unifine Pentips",0,25.4244821172231,63.5648537563251,77.724274353824,186.477906233167,189.141430356806,121.818314489573,84.6808058991007,57.7771173690733,35.6973075667801,-7.07747478580203,-41.1535512151373
"1st Tier Unifine Pentips Plus",NA,NA,0,264.368736630241,584.196919688919,643.418542985386,582.924829487335,534.17126860905,288.634011131922,143.897548015586,111.866901307031,81.08493992286
"Abacavir",NA,0,-1.55835401059239,-21.0122232556496,-44.5473162493227,NA,NA,NA,NA,NA,NA,NA
"Abacavir",NA,0,55.2322553457989,86.371980656936,100.968140612473,64.2451434920411,29.8130738840098,-12.9852574818568,-32.1380144045764,-40.5948224532632,-45.6309371018323,-60.3494132619848
"Abacavir",NA,NA,0,93.5191863793723,515.460328555928,383.981373188644,284.756998856997,285.137337747105,283.572717537342,181.866145145395,183.456125101363,122.807478440987
"Abacavir",0,82.338161992344,63.4391091897011,18.4127516380695,-71.5868824871388,-84.2986759799637,-85.7404354293027,-81.1806889847674,-83.7733817065463,-89.8927531604567,-90.7051024085057,-93.5255893815996
"Abacavir",0,100.809442358058,81.802139876772,70.5288055047006,-27.4511258469343,NA,NA,NA,NA,NA,NA,NA
"Abacavir-Lamivudine-Zidovudine",NA,0,21844.5402360193,21152.9814957249,16246.3078948071,12885.4145652251,8790.85830594722,NA,NA,NA,NA,NA
"Abelcet",0,-0.589409597155978,-12.1638066480583,-5.56933926366332,28.6077625444815,NA,NA,NA,NA,NA,NA,NA
"Abilify",0,19.8532690846589,43.7581805715144,-10.5579002033479,-94.7396399743057,-97.8522257081157,-98.2325351558171,-98.4724138784213,-98.6073825692961,-98.834749408529,-99.2524811499888,-99.3240562765678
